"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Czechia","2003","Total","Both Sexes","Liberec","City proper","Estimate - de jure","Final figure, complete","2004","97770",""
"Czechia","2003","Total","Both Sexes","Olomouc","City proper","Estimate - de jure","Final figure, complete","2004","101268",""
"Czechia","2003","Total","Both Sexes","Ústí nad Labem","City proper","Estimate - de jure","Final figure, complete","2004","94105",""
"Czechia","2003","Total","Both Sexes","Ostrava","City proper","Estimate - de jure","Final figure, complete","2004","313088",""
"Czechia","2003","Total","Both Sexes","Plzen","City proper","Estimate - de jure","Final figure, complete","2004","164180",""
"Czechia","2003","Total","Both Sexes","PRAHA","City proper","Estimate - de jure","Final figure, complete","2004","1165581",""
"Denmark","2018","Total","Both Sexes","Ålborg","City proper","Estimate - de jure","Final figure, complete","2018","213271","7,8"
"Denmark","2018","Total","Both Sexes","Århus","City proper","Estimate - de jure","Final figure, complete","2018","341497","7,8"
"Denmark","2018","Total","Both Sexes","Esbjerg","City proper","Estimate - de jure","Final figure, complete","2018","116061","7,8"
"Denmark","2018","Total","Both Sexes","Frederiksberg","City proper","Estimate - de jure","Final figure, complete","2018","103914","7,8"
"Denmark","2018","Total","Both Sexes","KOBENHAVN","City proper","Estimate - de jure","Final figure, complete","2018","616098","7,8"
"Denmark","2018","Total","Both Sexes","Odense","City proper","Estimate - de jure","Final figure, complete","2018","202663","7,8"
"Denmark","2018","Total","Both Sexes","Vejle","City proper","Estimate - de jure","Final figure, complete","2018","114464","7,8"
"Denmark","2017","Total","Both Sexes","Ålborg","City proper","Estimate - de jure","Final figure, complete","2017","211684","7,8"
"Denmark","2017","Total","Both Sexes","Århus","City proper","Estimate - de jure","Final figure, complete","2017","336411","7,8"
"Denmark","2017","Total","Both Sexes","Esbjerg","City proper","Estimate - de jure","Final figure, complete","2017","115932","7,8"
"Denmark","2017","Total","Both Sexes","Frederiksberg","City proper","Estimate - de jure","Final figure, complete","2017","104641","7,8"
"Denmark","2017","Total","Both Sexes","KOBENHAVN","City proper","Estimate - de jure","Final figure, complete","2017","605366","7,8"
"Denmark","2017","Total","Both Sexes","Odense","City proper","Estimate - de jure","Final figure, complete","2017","200703","7,8"
"Denmark","2017","Total","Both Sexes","Vejle","City proper","Estimate - de jure","Final figure, complete","2017","113720","7,8"
"Denmark","2016","Total","Both Sexes","Ålborg","City proper","Estimate - de jure","Final figure, complete","2016","210276","7,8"
"Denmark","2016","Total","Both Sexes","Århus","City proper","Estimate - de jure","Final figure, complete","2016","331505","7,8"
"Denmark","2016","Total","Both Sexes","Esbjerg","City proper","Estimate - de jure","Final figure, complete","2016","115987","7,8"
"Denmark","2016","Total","Both Sexes","Frederiksberg","City proper","Estimate - de jure","Final figure, complete","2016","104180","7,8"
"Denmark","2016","Total","Both Sexes","KOBENHAVN","City proper","Estimate - de jure","Final figure, complete","2016","594535","7,8"
"Denmark","2016","Total","Both Sexes","Odense","City proper","Estimate - de jure","Final figure, complete","2016","199235","7,8"
"Denmark","2016","Total","Both Sexes","Vejle","City proper","Estimate - de jure","Final figure, complete","2016","112494","7,8"
"Denmark","2015","Total","Both Sexes","Ålborg","City proper","Estimate - de jure","Final figure, complete","2015","207785","7,8"
"Denmark","2015","Total","Both Sexes","Århus","City proper","Estimate - de jure","Final figure, complete","2015","326612","7,8"
"Denmark","2015","Total","Both Sexes","Esbjerg","City proper","Estimate - de jure","Final figure, complete","2015","115558","7,8"
"Denmark","2015","Total","Both Sexes","Frederiksberg","City proper","Estimate - de jure","Final figure, complete","2015","103666","7,8"
"Denmark","2015","Total","Both Sexes","KOBENHAVN","City proper","Estimate - de jure","Final figure, complete","2015","583525","7,8"
"Denmark","2015","Total","Both Sexes","Odense","City proper","Estimate - de jure","Final figure, complete","2015","197466","7,8"
"Denmark","2015","Total","Both Sexes","Vejle","City proper","Estimate - de jure","Final figure, complete","2015","111138","7,8"
"Denmark","2014","Total","Both Sexes","Ålborg","City proper","Estimate - de jure","Final figure, complete","2014","205630","7,8"
"Denmark","2014","Total","Both Sexes","Århus","City proper","Estimate - de jure","Final figure, complete","2014","323477","7,8"
"Denmark","2014","Total","Both Sexes","Esbjerg","City proper","Estimate - de jure","Final figure, complete","2014","115272","7,8"
"Denmark","2014","Total","Both Sexes","Frederiksberg","City proper","Estimate - de jure","Final figure, complete","2014","102658","7,8"
"Denmark","2014","Total","Both Sexes","KOBENHAVN","City proper","Estimate - de jure","Final figure, complete","2014","572287","7,8"
"Denmark","2014","Total","Both Sexes","Odense","City proper","Estimate - de jure","Final figure, complete","2014","195908","7,8"
"Denmark","2014","Total","Both Sexes","Vejle","City proper","Estimate - de jure","Final figure, complete","2014","110057","7,8"
"Denmark","2013","Total","Both Sexes","Ålborg","City proper","Estimate - de jure","Final figure, complete","2013","203373","7,8"
"Denmark","2013","Total","Both Sexes","Århus","City proper","Estimate - de jure","Final figure, complete","2013","319680","7,8"
"Denmark","2013","Total","Both Sexes","Esbjerg","City proper","Estimate - de jure","Final figure, complete","2013","115041","7,8"
"Denmark","2013","Total","Both Sexes","Frederiksberg","City proper","Estimate - de jure","Final figure, complete","2013","101959","7,8"
"Denmark","2013","Total","Both Sexes","KOBENHAVN","City proper","Estimate - de jure","Final figure, complete","2013","562379","7,8"
"Denmark","2013","Total","Both Sexes","Odense","City proper","Estimate - de jure","Final figure, complete","2013","193641","7,8"
"Denmark","2013","Total","Both Sexes","Vejle","City proper","Estimate - de jure","Final figure, complete","2013","109362","7,8"
"Denmark","2012","Total","Both Sexes","Ålborg","City proper","Estimate - de jure","Final figure, complete","2012","200884","7,8"
"Denmark","2012","Total","Both Sexes","Århus","City proper","Estimate - de jure","Final figure, complete","2012","314887","7,8"
"Denmark","2012","Total","Both Sexes","Esbjerg","City proper","Estimate - de jure","Final figure, complete","2012","115105","7,8"
"Denmark","2012","Total","Both Sexes","Frederiksberg","City proper","Estimate - de jure","Final figure, complete","2012","100637","8"
"Denmark","2012","Total","Both Sexes","KOBENHAVN","City proper","Estimate - de jure","Final figure, complete","2012","551900","7,8"
"Denmark","2012","Total","Both Sexes","Odense","City proper","Estimate - de jure","Final figure, complete","2012","191692","7,8"
"Denmark","2012","Total","Both Sexes","Vejle","City proper","Estimate - de jure","Final figure, complete","2012","108471","7,8"
"Denmark","2011","Total","Both Sexes","Ålborg","City proper","Estimate - de jure","Final figure, complete","2011","199270","7,8"
"Denmark","2011","Total","Both Sexes","Århus","City proper","Estimate - de jure","Final figure, complete","2011","310801","7,8"
"Denmark","2011","Total","Both Sexes","Esbjerg","City proper","Estimate - de jure","Final figure, complete","2011","115184","7,8"
"Denmark","2011","Total","Both Sexes","KOBENHAVN","City proper","Estimate - de jure","Final figure, complete","2011","541989","7,8"
"Denmark","2011","Total","Both Sexes","Odense","City proper","Estimate - de jure","Final figure, complete","2011","190103","7,8"
"Denmark","2011","Total","Both Sexes","Vejle","City proper","Estimate - de jure","Final figure, complete","2011","107618","7,8"
"Denmark","2010","Total","Both Sexes","Ålborg","City proper","Estimate - de jure","Final figure, complete","2010","197516","7,8"
"Denmark","2010","Total","Both Sexes","Århus","City proper","Estimate - de jure","Final figure, complete","2010","306799","7,8"
"Denmark","2010","Total","Both Sexes","Esbjerg","City proper","Estimate - de jure","Final figure, complete","2010","115129","7,8"
"Denmark","2010","Total","Both Sexes","KOBENHAVN","City proper","Estimate - de jure","Final figure, complete","2010","531199","7,8"
"Denmark","2010","Total","Both Sexes","Odense","City proper","Estimate - de jure","Final figure, complete","2010","189058","7,8"
"Denmark","2010","Total","Both Sexes","Vejle","City proper","Estimate - de jure","Final figure, complete","2010","106867","7,8"
"Denmark","2009","Total","Both Sexes","Ålborg","City proper","Estimate - de jure","Final figure, complete","2009","196096","7,8"
"Denmark","2009","Total","Both Sexes","Århus","City proper","Estimate - de jure","Final figure, complete","2009","303107","7,8"
"Denmark","2009","Total","Both Sexes","Esbjerg","City proper","Estimate - de jure","Final figure, complete","2009","114806","7,8"
"Denmark","2009","Total","Both Sexes","KOBENHAVN","City proper","Estimate - de jure","Final figure, complete","2009","521397","7,8"
"Denmark","2009","Total","Both Sexes","Odense","City proper","Estimate - de jure","Final figure, complete","2009","187884","7,8"
"Denmark","2009","Total","Both Sexes","Vejle","City proper","Estimate - de jure","Final figure, complete","2009","106281","7,8"
"Denmark","2008","Total","Both Sexes","Ålborg","City proper","Estimate - de jure","Final figure, complete","2008","195048","7,8"
"Denmark","2008","Total","Both Sexes","Århus","City proper","Estimate - de jure","Final figure, complete","2008","298501","7,8"
"Denmark","2008","Total","Both Sexes","KOBENHAVN","City proper","Estimate - de jure","Final figure, complete","2008","511686","7,8"
"Denmark","2008","Total","Both Sexes","Odense","City proper","Estimate - de jure","Final figure, complete","2008","186886","7,8"
"Denmark","2007","Total","Both Sexes","Ålborg","City proper","Estimate - de jure","Final figure, complete","2008","194049","8"
"Denmark","2007","Total","Both Sexes","Århus","City proper","Estimate - de jure","Final figure, complete","2008","295599","8"
"Denmark","2007","Total","Both Sexes","KOBENHAVN","City proper","Estimate - de jure","Final figure, complete","2008","505141","8"
"Denmark","2007","Total","Both Sexes","Odense","City proper","Estimate - de jure","Final figure, complete","2008","186085","8"
"Denmark","2006","Total","Both Sexes","Ålborg","City proper","Estimate - de jure","Final figure, complete","2007","163505","8"
"Denmark","2006","Total","Both Sexes","Århus","City proper","Estimate - de jure","Final figure, complete","2007","294273","8"
"Denmark","2006","Total","Both Sexes","KOBENHAVN","City proper","Estimate - de jure","Final figure, complete","2007","500543","8"
"Denmark","2006","Total","Both Sexes","Odense","City proper","Estimate - de jure","Final figure, complete","2007","186614","8"
"Denmark","2005","Total","Both Sexes","Ålborg","City proper","Estimate - de jure","Final figure, complete","2006","163290","8"
"Denmark","2005","Total","Both Sexes","Århus","City proper","Estimate - de jure","Final figure, complete","2006","293932","8"
"Denmark","2005","Total","Both Sexes","KOBENHAVN","City proper","Estimate - de jure","Final figure, complete","2006","500150","8"
"Denmark","2005","Total","Both Sexes","Odense","City proper","Estimate - de jure","Final figure, complete","2006","185861","8"
"Denmark","2001","Total","Both Sexes","Ålborg","City proper","Estimate - de jure","Final figure, complete","2001","161661","8"
"Denmark","2001","Total","Both Sexes","Århus","City proper","Estimate - de jure","Final figure, complete","2001","286668","8"
"Denmark","2001","Total","Both Sexes","KOBENHAVN","City proper","Estimate - de jure","Final figure, complete","2001","499148","8"
"Denmark","2001","Total","Both Sexes","Odense","City proper","Estimate - de jure","Final figure, complete","2001","183691","8"
"Finland","2017","Total","Both Sexes","Espoo","City proper","Estimate - de jure","Final figure, complete","2018","276814","7,9"
"Finland","2017","Total","Both Sexes","HELSINKI","City proper","Estimate - de jure","Final figure, complete","2018","639227","7,9"
"Finland","2017","Total","Both Sexes","Jyvaskyla","City proper","Estimate - de jure","Final figure, complete","2018","139519","7,9"
"Finland","2017","Total","Both Sexes","Kuopio","City proper","Estimate - de jure","Final figure, complete","2018","117975","7,9"
"Finland","2017","Total","Both Sexes","Lahti","City proper","Estimate - de jure","Final figure, complete","2018","119513","7,9"
"Finland","2017","Total","Both Sexes","Oulu","City proper","Estimate - de jure","Final figure, complete","2018","201168","7,9"
"Finland","2017","Total","Both Sexes","Tampere","City proper","Estimate - de jure","Final figure, complete","2018","230064","7,9"
"Finland","2017","Total","Both Sexes","Turku","City proper","Estimate - de jure","Final figure, complete","2018","188637","7,9"
"Finland","2017","Total","Both Sexes","Vantaa","City proper","Estimate - de jure","Final figure, complete","2018","221184","7,9"
"Finland","2016","Total","Both Sexes","Espoo","City proper","Estimate - de jure","Final figure, complete","2017","272192.5","7,9"
"Finland","2016","Total","Both Sexes","HELSINKI","City proper","Estimate - de jure","Final figure, complete","2017","631694.5","7,9"
"Finland","2016","Total","Both Sexes","Jyvaskyla","City proper","Estimate - de jure","Final figure, complete","2017","138109","7,9"
"Finland","2016","Total","Both Sexes","Kuopio","City proper","Estimate - de jure","Final figure, complete","2017","117330.5","7,9"
"Finland","2016","Total","Both Sexes","Lahti","City proper","Estimate - de jure","Final figure, complete","2017","119097.5","7,9"
"Finland","2016","Total","Both Sexes","Oulu","City proper","Estimate - de jure","Final figure, complete","2017","199525.5","7,9"
"Finland","2016","Total","Both Sexes","Tampere","City proper","Estimate - de jure","Final figure, complete","2017","226696","7,9"
"Finland","2016","Total","Both Sexes","Turku","City proper","Estimate - de jure","Final figure, complete","2017","186756","7,9"
"Finland","2016","Total","Both Sexes","Vantaa","City proper","Estimate - de jure","Final figure, complete","2017","216973","7,9"
"Finland","2015","Total","Both Sexes","Espoo","City proper","Estimate - de jure","Final figure, complete","2016","267672.5","7,9"
"Finland","2015","Total","Both Sexes","HELSINKI","City proper","Estimate - de jure","Final figure, complete","2016","624461.5","7,9"
"Finland","2015","Total","Both Sexes","Jyvaskyla","City proper","Estimate - de jure","Final figure, complete","2016","136574","7,9"
"Finland","2015","Total","Both Sexes","Kuopio","City proper","Estimate - de jure","Final figure, complete","2016","111703","7,9"
"Finland","2015","Total","Both Sexes","Lahti","City proper","Estimate - de jure","Final figure, complete","2016","118693.5","7,9"
"Finland","2015","Total","Both Sexes","Oulu","City proper","Estimate - de jure","Final figure, complete","2016","197408","7,9"
"Finland","2015","Total","Both Sexes","Tampere","City proper","Estimate - de jure","Final figure, complete","2016","224061","7,9"
"Finland","2015","Total","Both Sexes","Turku","City proper","Estimate - de jure","Final figure, complete","2016","184866","7,9"
"Finland","2015","Total","Both Sexes","Vantaa","City proper","Estimate - de jure","Final figure, complete","2016","212704","7,9"
"Finland","2014","Total","Both Sexes","Espoo","City proper","Estimate - de jure","Final figure, complete","2015","263148","7,9"
"Finland","2014","Total","Both Sexes","HELSINKI","City proper","Estimate - de jure","Final figure, complete","2015","616690","7,9"
"Finland","2014","Total","Both Sexes","Jyvaskyla","City proper","Estimate - de jure","Final figure, complete","2015","135219","7,9"
"Finland","2014","Total","Both Sexes","Kuopio","City proper","Estimate - de jure","Final figure, complete","2015","110701","7,9"
"Finland","2014","Total","Both Sexes","Lahti","City proper","Estimate - de jure","Final figure, complete","2015","103559","7,9"
"Finland","2014","Total","Both Sexes","Oulu","City proper","Estimate - de jure","Final figure, complete","2015","195045","7,9"
"Finland","2014","Total","Both Sexes","Tampere","City proper","Estimate - de jure","Final figure, complete","2015","221725","7,9"
"Finland","2014","Total","Both Sexes","Turku","City proper","Estimate - de jure","Final figure, complete","2015","182948","7,9"
"Finland","2014","Total","Both Sexes","Vantaa","City proper","Estimate - de jure","Final figure, complete","2015","209451","7,9"
"Finland","2013","Total","Both Sexes","Espoo","City proper","Estimate - de jure","Final figure, complete","2014","258788.5","7"
"Finland","2013","Total","Both Sexes","HELSINKI","City proper","Estimate - de jure","Final figure, complete","2014","608316","7"
"Finland","2013","Total","Both Sexes","Jyvaskyla","City proper","Estimate - de jure","Final figure, complete","2014","134070","7"
"Finland","2013","Total","Both Sexes","Kuopio","City proper","Estimate - de jure","Final figure, complete","2014","105739","7"
"Finland","2013","Total","Both Sexes","Lahti","City proper","Estimate - de jure","Final figure, complete","2014","103190","7"
"Finland","2013","Total","Both Sexes","Oulu","City proper","Estimate - de jure","Final figure, complete","2014","192322.5","7"
"Finland","2013","Total","Both Sexes","Tampere","City proper","Estimate - de jure","Final figure, complete","2014","218933.5","7"
"Finland","2013","Total","Both Sexes","Turku","City proper","Estimate - de jure","Final figure, complete","2014","181148.5","7"
"Finland","2013","Total","Both Sexes","Vantaa","City proper","Estimate - de jure","Final figure, complete","2014","206705","7"
"Finland","2012","Total","Both Sexes","Espoo","City proper","Estimate - de jure","Final figure, complete","2013","254631.5","7"
"Finland","2012","Total","Both Sexes","HELSINKI","City proper","Estimate - de jure","Final figure, complete","2013","599676","7"
"Finland","2012","Total","Both Sexes","Jyvaskyla","City proper","Estimate - de jure","Final figure, complete","2013","132772","7"
"Finland","2012","Total","Both Sexes","Kuopio","City proper","Estimate - de jure","Final figure, complete","2013","104534","7"
"Finland","2012","Total","Both Sexes","Lahti","City proper","Estimate - de jure","Final figure, complete","2013","102662","7"
"Finland","2012","Total","Both Sexes","Oulu","City proper","Estimate - de jure","Final figure, complete","2013","189480.5","7"
"Finland","2012","Total","Both Sexes","Tampere","City proper","Estimate - de jure","Final figure, complete","2013","216294.5","7"
"Finland","2012","Total","Both Sexes","Turku","City proper","Estimate - de jure","Final figure, complete","2013","179427.5","7"
"Finland","2012","Total","Both Sexes","Vantaa","City proper","Estimate - de jure","Final figure, complete","2013","204156.5","7"
"Finland","2011","Total","Both Sexes","Espoo","City proper","Estimate - de jure","Final figure, complete","2012","250204.5",""
"Finland","2011","Total","Both Sexes","HELSINKI","City proper","Estimate - de jure","Final figure, complete","2012","591966.5",""
"Finland","2011","Total","Both Sexes","Jyvaskyla","City proper","Estimate - de jure","Final figure, complete","2012","131439",""
"Finland","2011","Total","Both Sexes","Lahti","City proper","Estimate - de jure","Final figure, complete","2012","101948",""
"Finland","2011","Total","Both Sexes","Oulu","City proper","Estimate - de jure","Final figure, complete","2012","142790",""
"Finland","2011","Total","Both Sexes","Tampere","City proper","Estimate - de jure","Final figure, complete","2012","214192.5",""
"Finland","2011","Total","Both Sexes","Turku","City proper","Estimate - de jure","Final figure, complete","2012","177978",""
"Finland","2011","Total","Both Sexes","Vantaa","City proper","Estimate - de jure","Final figure, complete","2012","201528",""
"Finland","2010","Total","Both Sexes","Espoo","City proper","Census - de jure - complete tabulation","Final figure, complete","2011","247970",""
"Finland","2010","Total","Both Sexes","Espoo","City proper","Estimate - de jure","Final figure, complete","2011","246150",""
"Finland","2010","Total","Both Sexes","HELSINKI","City proper","Census - de jure - complete tabulation","Final figure, complete","2011","588549",""
"Finland","2010","Total","Both Sexes","HELSINKI","City proper","Estimate - de jure","Final figure, complete","2011","585949.5",""
"Finland","2010","Total","Both Sexes","Jyvaskyla","City proper","Census - de jure - complete tabulation","Final figure, complete","2011","130816",""
"Finland","2010","Total","Both Sexes","Jyvaskyla","City proper","Estimate - de jure","Final figure, complete","2011","130219.5",""
"Finland","2010","Total","Both Sexes","Lahti","City proper","Census - de jure - complete tabulation","Final figure, complete","2011","101588",""
"Finland","2010","Total","Both Sexes","Lahti","City proper","Estimate - de jure","Final figure, complete","2011","101221",""
"Finland","2010","Total","Both Sexes","Oulu","City proper","Census - de jure - complete tabulation","Final figure, complete","2011","141671",""
"Finland","2010","Total","Both Sexes","Oulu","City proper","Estimate - de jure","Final figure, complete","2011","140402",""
"Finland","2010","Total","Both Sexes","Tampere","City proper","Census - de jure - complete tabulation","Final figure, complete","2011","213217",""
"Finland","2010","Total","Both Sexes","Tampere","City proper","Estimate - de jure","Final figure, complete","2011","212362",""
"Finland","2010","Total","Both Sexes","Turku","City proper","Census - de jure - complete tabulation","Final figure, complete","2011","177326",""
"Finland","2010","Total","Both Sexes","Turku","City proper","Estimate - de jure","Final figure, complete","2011","176706.5",""
"Finland","2010","Total","Both Sexes","Vantaa","City proper","Census - de jure - complete tabulation","Final figure, complete","2011","200055",""
"Finland","2010","Total","Both Sexes","Vantaa","City proper","Estimate - de jure","Final figure, complete","2011","198845.5",""
"Finland","2009","Total","Both Sexes","Espoo","City proper","Estimate - de jure","Final figure, complete","2010","242947.5",""
"Finland","2009","Total","Both Sexes","HELSINKI","City proper","Estimate - de jure","Final figure, complete","2010","579991",""
"Finland","2009","Total","Both Sexes","Jyvaskyla","City proper","Estimate - de jure","Final figure, complete","2010","128825.5",""
"Finland","2009","Total","Both Sexes","Lahti","City proper","Estimate - de jure","Final figure, complete","2010","100467",""
"Finland","2009","Total","Both Sexes","Oulu","City proper","Estimate - de jure","Final figure, complete","2010","138097",""
"Finland","2009","Total","Both Sexes","Tampere","City proper","Estimate - de jure","Final figure, complete","2010","210529.5",""
"Finland","2009","Total","Both Sexes","Turku","City proper","Estimate - de jure","Final figure, complete","2010","175834.5",""
"Finland","2009","Total","Both Sexes","Vantaa","City proper","Estimate - de jure","Final figure, complete","2010","196516.5",""
"Finland","2008","Total","Both Sexes","Espoo","City proper","Estimate - de jure","Final figure, complete","2009","239806",""
"Finland","2008","Total","Both Sexes","HELSINKI","City proper","Estimate - de jure","Final figure, complete","2009","573604",""
"Finland","2008","Total","Both Sexes","Jyvaskyla","City proper","Estimate - de jure","Final figure, complete","2009","127287",""
"Finland","2008","Total","Both Sexes","Lahti","City proper","Estimate - de jure","Final figure, complete","2009","99694",""
"Finland","2008","Total","Both Sexes","Oulu","City proper","Estimate - de jure","Final figure, complete","2009","136058",""
"Finland","2008","Total","Both Sexes","Tampere","City proper","Estimate - de jure","Final figure, complete","2009","208709",""
"Finland","2008","Total","Both Sexes","Turku","City proper","Estimate - de jure","Final figure, complete","2009","175434",""
"Finland","2008","Total","Both Sexes","Vantaa","City proper","Estimate - de jure","Final figure, complete","2009","193949.5",""
"Finland","2007","Total","Both Sexes","Espoo","City proper","Estimate - de jure","Final figure, complete","2008","236533",""
"Finland","2007","Total","Both Sexes","HELSINKI","City proper","Estimate - de jure","Final figure, complete","2008","566526",""
"Finland","2007","Total","Both Sexes","Oulu","City proper","Estimate - de jure","Final figure, complete","2008","130881.5",""
"Finland","2007","Total","Both Sexes","Tampere","City proper","Estimate - de jure","Final figure, complete","2008","207117",""
"Finland","2007","Total","Both Sexes","Turku","City proper","Estimate - de jure","Final figure, complete","2008","175320",""
"Finland","2007","Total","Both Sexes","Vantaa","City proper","Estimate - de jure","Final figure, complete","2008","191116.5",""
"Finland","2006","Total","Both Sexes","Espoo","City proper","Estimate - de jure","Final figure, complete","2007","233361.5",""
"Finland","2006","Total","Both Sexes","HELSINKI","City proper","Estimate - de jure","Final figure, complete","2007","562713",""
"Finland","2006","Total","Both Sexes","Jyvaskyla","City proper","Estimate - de jure","Final figure, complete","2007","84586.5",""
"Finland","2006","Total","Both Sexes","Lahti","City proper","Estimate - de jure","Final figure, complete","2007","98589.5",""
"Finland","2006","Total","Both Sexes","Oulu","City proper","Estimate - de jure","Final figure, complete","2007","129570",""
"Finland","2006","Total","Both Sexes","Tampere","City proper","Estimate - de jure","Final figure, complete","2007","205352.5",""
"Finland","2006","Total","Both Sexes","Turku","City proper","Estimate - de jure","Final figure, complete","2007","175111",""
"Finland","2006","Total","Both Sexes","Vantaa","City proper","Estimate - de jure","Final figure, complete","2007","188496",""
"Finland","2005","Total","Both Sexes","Espoo","City proper","Estimate - de jure","Final figure, complete","2006","229588",""
"Finland","2005","Total","Both Sexes","HELSINKI","City proper","Estimate - de jure","Final figure, complete","2006","559976",""
"Finland","2005","Total","Both Sexes","Oulu","City proper","Estimate - de jure","Final figure, complete","2006","128094",""
"Finland","2005","Total","Both Sexes","Tampere","City proper","Estimate - de jure","Final figure, complete","2006","203635",""
"Finland","2005","Total","Both Sexes","Turku","City proper","Estimate - de jure","Final figure, complete","2006","174846",""
"Finland","2005","Total","Both Sexes","Vantaa","City proper","Estimate - de jure","Final figure, complete","2006","186355",""
"Finland","2004","Total","Both Sexes","Espoo","City proper","Estimate - de jure","Final figure, complete","2005","225851.5",""
"Finland","2004","Total","Both Sexes","HELSINKI","City proper","Estimate - de jure","Final figure, complete","2005","559188",""
"Finland","2004","Total","Both Sexes","Jyvaskyla","City proper","Estimate - de jure","Final figure, complete","2005","82995.5",""
"Finland","2004","Total","Both Sexes","Lahti","City proper","Estimate - de jure","Final figure, complete","2005","98267",""
"Finland","2004","Total","Both Sexes","Oulu","City proper","Estimate - de jure","Final figure, complete","2005","126577",""
"Finland","2004","Total","Both Sexes","Tampere","City proper","Estimate - de jure","Final figure, complete","2005","201949",""
"Finland","2004","Total","Both Sexes","Turku","City proper","Estimate - de jure","Final figure, complete","2005","174941.5",""
"Finland","2004","Total","Both Sexes","Vantaa","City proper","Estimate - de jure","Final figure, complete","2005","184734",""
"Finland","2003","Total","Both Sexes","Espoo","City proper","Estimate - de jure","Final figure, complete","2004","222914",""
"Finland","2003","Total","Both Sexes","HELSINKI","City proper","Estimate - de jure","Final figure, complete","2004","559523",""
"Finland","2003","Total","Both Sexes","Oulu","City proper","Estimate - de jure","Final figure, complete","2004","125258",""
"Finland","2003","Total","Both Sexes","Tampere","City proper","Estimate - de jure","Final figure, complete","2004","200395",""
"Finland","2003","Total","Both Sexes","Turku","City proper","Estimate - de jure","Final figure, complete","2004","174839",""
"Finland","2003","Total","Both Sexes","Vantaa","City proper","Estimate - de jure","Final figure, complete","2004","182965",""
"France","2015","Total","Both Sexes","Aix-en-Provence","City proper","Census - de jure - complete tabulation","Final figure, complete","2018","142668","1"
"France","2015","Total","Both Sexes","Amiens","City proper","Census - de jure - complete tabulation","Final figure, complete","2018","132874","1"
"France","2015","Total","Both Sexes","Amiens","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2018","162637",""
"France","2015","Total","Both Sexes","Angers","City proper","Census - de jure - complete tabulation","Final figure, complete","2018","151520","1"
"France","2015","Total","Both Sexes","Angers","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2018","225978",""
"France","2015","Total","Both Sexes","Argenteuil","City proper","Census - de jure - complete tabulation","Final figure, complete","2018","110388","1"
"France","2015","Total","Both Sexes","Besançon","City proper","Census - de jure - complete tabulation","Final figure, complete","2018","116676","1"
"France","2015","Total","Both Sexes","Besançon","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2018","135448",""
"France","2015","Total","Both Sexes","Bordeaux","City proper","Census - de jure - complete tabulation","Final figure, complete","2018","249712","1"
"France","2015","Total","Both Sexes","Bordeaux","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2018","904359",""
"France","2015","Total","Both Sexes","Boulogne-Billancourt","City proper","Census - de jure - complete tabulation","Final figure, complete","2018","117931","1"
"France","2015","Total","Both Sexes","Brest","City proper","Census - de jure - complete tabulation","Final figure, complete","2018","139163","1"
"France","2015","Total","Both Sexes","Brest","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2018","200530",""
"France","2015","Total","Both Sexes","Caen","City proper","Census - de jure - complete tabulation","Final figure, complete","2018","106260","1"
"France","2015","Total","Both Sexes","Caen","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2018","198639",""
"France","2015","Total","Both Sexes","Clermont-Ferrand","City proper","Census - de jure - complete tabulation","Final figure, complete","2018","141398","1"
"France","2015","Total","Both Sexes","Clermont-Ferrand","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2018","265892",""
"France","2015","Total","Both Sexes","Dijon","City proper","Census - de jure - complete tabulation","Final figure, complete","2018","155114","1"
"France","2015","Total","Both Sexes","Dijon","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2018","243244",""
"France","2015","Total","Both Sexes","Grenoble","City proper","Census - de jure - complete tabulation","Final figure, complete","2018","160649","1"
"France","2015","Total","Both Sexes","Grenoble","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2018","512591",""
"France","2015","Total","Both Sexes","Le Havre","City proper","Census - de jure - complete tabulation","Final figure, complete","2018","172366","1"
"France","2015","Total","Both Sexes","Le Havre","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2018","237578",""
"France","2015","Total","Both Sexes","Le Mans","City proper","Census - de jure - complete tabulation","Final figure, complete","2018","143325","1"
"France","2015","Total","Both Sexes","Le Mans","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2018","210018",""
"France","2015","Total","Both Sexes","Lille","City proper","Census - de jure - complete tabulation","Final figure, complete","2018","232741","1"
"France","2015","Total","Both Sexes","Lille","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2018","1039397",""
"France","2015","Total","Both Sexes","Limoges","City proper","Census - de jure - complete tabulation","Final figure, complete","2018","133627","1"
"France","2015","Total","Both Sexes","Limoges","Urban agglomeration","Census - de jure - complete tabulation","Final figure, complete","2018","183347",""
